ant	0_k2
bear	01dws
bee	01h3n
bird	015p6
camel	01x_v
cat	01yrx
chicken	09b5t
cow	01xq0k1
duck	09ddx
elephant	0bwd_0j
horse	03k3r
monkey	08pbxl
sheep	07bgp
bull	0cnyhnx
alligator	02g2w1
Amaranth	0qqk
Artichoke	047v4b
Arugula	0g6cz4t
Asparagus	0cjs7
Beet	01cbb3
Broccoli	0hkxq
Cabbage	0fbw6
Carrot	0fj52s
Cauliflower	015w7p
Celery	01xj_
Chard	02nm6c
Collards	02nm75
Corn	053wn
Cucumber	015x4r
Eggplant	0cdk2
Endive	022p79
Fennel	017dqv
Garlic	0dbrl
Gourd	03lp1_
Kale	02r5_b
Kohlrabi	04bk6
Kuka	0666h8
Leek	013__5
Lettuce	0fqlj
Okra	025s18p
Onion	0dj75
Parsnip	01xfpd
Pea	0g5s7
Peanut	0fg0m
Potato	05vtc
Pumpkin	05zsy
Radish	015x5n
Rhubarb	0fl3p
Spinach	016rh7
Turnip	0cl46
Watercress	02d9p2
Wheatgrass	05jsyz
Yarrow	0jtc5
Brazil	015fr
Canada	0d060g
Chile	01p1v
China	0d05w3
Cuba	0d04z6
Iran	03shp
Turkey	01znc_
Sweden	0d0vqn
Spain	06mkj
Austria	0h7x
Hungary	03gj2
Germany	0345h
Poland	05qhw
Latvia	04g5k
Ireland	012wgb
Jamaica	03_r3
Vietnam	01crd5
Bulgaria	015qh
Mongolia	04w8f
Scotland	06q1r
Australia	0chghy
Greenland	035v3
Armenia	0jgx
Japan	03_3d
Kenya	019rg5
Monday	0f6kx
Tuesday	0f7_n
Wednesday	0f7_4
Thursday	0f7zn
Friday	0f7z4
Saturday	0f7yn
Sunday	0f6ld
Sun	06m_p
Mecury	09cy8
Venus	09bcm
Earth	02j71
Mars	09cws
Jupiter	09q84
Saturn	0c3s8
Uranus	0c3ss
Neptune	0c31h
Aries	0jwy
Taurus	07cqw
Gemini	077r8d
Cancer	0qck6
Leo	04h2q
Virgo	07yt9
Libra	04h36
Scorpio	06pgz
Sagittarius	06pgg
Capricornus	01nk9
Aquarius	0jxf
Pisces	05s7n
Football	02vx4
American Football	0jm_
Basketball	018w8
Baseball	018jz
Tennis	07bs0
Boxing	01cgz
Ice Hockey	03tmr
Volleyball	07_53
Track and field	0bynt
Golf	037hz
Cycling	01sgl
Swimming	06z6r
Judo	03_8r
Marathon	0d38m
Badminton	0194d
Table tennis	07jbh
Yoga	087zy
Gymnastics	0397w
Wrestling	036vg6
Martial Arts	04xsv
January	03_ly
February	02xx5
March	04wzr
April	0lkm
May	04w_7
June	040fb
July	040fv
August	0ll3
September	06vkl
October	05lf_
November	05cw8
December	028kb
North	0fm3w
South	0k7ny
West	0gkh2
East	0gkhl
Asia	0j0k
North America	059g4
South America	06n3y
Enrope	02j9z
Africa	0dg3n1
Antarctica	0jfx
Australia	09pkq0
Comedy	05p553
Horror	03npn
Documentary	0jtdp
Drama	07s9rl0
Animation	0hcr
Science Fiction	06n90
Action	02kdv5l
Thriller	01jfsb
Romance	02l7c8
Fantasy	01hmnh
Adventure	0g65_
Musical	04t36
Rock	06by7
Pop	064t9
Jazz	03_d0
Country	01lyv
Hip hop	0glt670
Heavy Metal	03lty
Punk Rock	05r6t
Classical	0ggq0m
Electronic	02lkt
Blues	0155w
Reggae	06cqb
Folk	02w4v
Funk	02x8m
Dance	0ggx5q
Airplane	0rfgh6w
Bicycle	0199g
Boat	019jd
Bus	01bjv
Automobile	0k4j
Helicopter	09ct_
Motorcycle	04_sv
Ship	06q74
Subway	01pz3b
Taxi	0pg52
Train	07jdr
Truck	07r04
Tram	07kfm
Ferry	0ddnl
Trolleybus	0f6pl
Spacecraft	09g5h
Hovercraft	013xl3
Submarine	074d1
Minivan	057gn
Cheese	01xs0vd
Brewery	01xs0x4
Beer	01xs0xq
Tea	01xs0xx
Beverage	01xs0yn
Candy bar	02k9ttj
Dish	03yw5sq
Ingredient	03yw5hv
Restaurant	01z11ns
Chef	049xqrq
Cuisine	01z11nz
Distillery	046cz33
Appellation	02ws9vy
Vineyard	02ws9wg
Wine	02ws9s5
Diet	05v2f35
Recipe	05v2c_w
Food	05yxcqj
Nutrient	04xw9hr
Guitar	0342h
Horn	0319l
Drums	02hnl
Organ	013y1f
Flute	0l14j_
Piano	05r5c
Accordion	0mkg
Quotation	02hyl2s
Adaptation	01y2j5m
Dedicatee	04jr8nr
Dedication	04jr8nj
Dedicator	04jr8nz
Publication	02k6s0w
Review	02k6s3h
Author	01xryvt
Interview	02k6s2y
Translation	02k6s1m
Interviewee	02k6s39
Interviewer	02k6s33
Translator	02k6s1t
Excerpt	02k6s1f
Illustrator	03jz7mq
Contents	02k6s0p
Lawyer	04gc2
Physician	05t4q
Architect	0mn6
Musician	09jwl
Teacher	01d30f
Model	0d1pc
Chemist	01pxg
Veterinarian	01hbsc
Composer	01c72t
Cook	04y7pl
Profesional Golfer	07npwc
Doorman	03cbm1_
Police Officer	01t2ln
Programmer	05xls
Audio Engineer	02tx6q
Dentist	02h661t
Pediatrist	05wgy
Soldier	099md
Truck Driver	05d2m7
drill	01d380
hammer	03l9g
knife	075pvc
plane	02bbbj
pliers	0cqs9q
saw	05b_nc
scissors	01lsmm
screwdriver	03g3z_
vise	07ln6l
wrench	01j5ks
breakfast	02qhwc4
check	04nmy9
cup	08gqpm
dessert	03m7wd
dinner	08n3ym
drink	06qrr
fork	0dt3t
hamburger	0cdn1
menu	024gjb
napkin	026lrs
salad	01_9v
salt	04kn7t
spoon	0cmx8
water	01c6xf
coffee	02vqfm
tea	02859d
Back	09jc2n
Finger	09cx8
Leg	09w5r
Tooth	0hz0h
Cheek	037p5b
Foot	031n1
Lip	06pj2k
Throat	0mhy4
Chest	0dzdr
Forehead	025kyy
Mouth	0283dt1
Toe	01d_ff
Chin	0f9swq
Hair	03q69
Neck	0dzd8
Tongue	0fjkt
Ear	039xj_
Hand	0k65p
Nose	0k0pj
Eyebrow	027n3_
Head	04hgtk
Waist	031974
Eye	014sv8
Belt	0176mf
Jacket	032b3c
Shoe	06rrc
Sweater	019b80
Boot	01b638
Skirt	02wv6h6
Cap	02d46y
Pajama	0142wf
T-shirt	013s93
Coat	01xygc
Jeans	0fly7
Slipper	0216vm
Necktie	01rkbr
Dress	01d40f
Raincoat	01v229
Sock	01nq26
Trousers	07mhn
Glove	0174n1
Scarf	02h19r
Shirt	01n4qj
Suit	01xyhv
Stocking	01767_
Underpants	0cp1w6l
Undershirt	079f77
CDROM	01zzs
Keyboard	01m2v
Click	020lf
Copy	014n4m
Command	01fk53
Database	02bc6
Delete	01q5jp
Digital	029kh
File	020s1
Font	045hfw
Electronic Mail	02nf_
Graphic	01xfp
Icon	01zrkr
Hardware	01mfj
Input	03rsh
Interactive	02_0t4
Internet	03rlt
Cloud	02y_9m3
USB	07wcf
Webcam	0mynm
Facebook	02y1vz
Motherboard	0508p
The Hague	07g0_
New York City	02_286
Jerusalem	0430_
Cairo	01w2v
Seoul	0hsqf
Florence	031y2
Berlin	0156q
Paris	05qtj
Amsterdam	0k3p
Dakar	0c1xm
Rio de Janeiro	06gmr
Tower	01fdzj
Roads	06gfj
Hospital	0hpnr
Court	0k05r
Bridge	06zdj
Stadium	019cfy
Park	0166ls
School	06zdj
Museum	09cmq
Bank	017ql
College	02p0qmm
Market	09y4pm
Gym	016yx7
Police Station	03nybl
Airport	09cjl
Mining	053rd
Real Estate	023907r
Telecommunications	029g_vk
Hospitality	06mbny
Financial Services	02h400t
Software	01mf0
Advertising	011s0
